x;y;V
681016;7181774;964
681016;7181775;965
681018;7183854;966
681019;7181196;967
681019;7182550;968
681019;7183274;969
681021;7182200;970
681021;7182898;971
681021;7184242;972
681025;7183488;973
681026;7181836;974
681028;7182710;975
681029;7182023;976
681033;7182150;977
681033;7182504;978
681034;7184505;979
681035;7181898;980
681043;7184036;981
681044;7181958;982
681045;7182098;983
681046;7184513;984
681047;7181250;985
681047;7182651;986
681048;7182458;987
681050;7183675;988
681050;7184378;989
681056;7180806;990
681056;7180898;991
681056;7184253;992
681057;7182210;993
681059;7183678;994
681061;7182969;995
681062;7183279;996
681064;7180963;997
681065;7184257;998
681066;7183722;999
681069;7182159;1000
681069;7183238;1001
681070;7182912;1002
681071;7181029;1003
681071;7183873;1004
681074;7182564;1005
681075;7181306;1006
681075;7183833;1007
681078;7182726;1008
681078;7184159;1009
681080;7181094;1010
681081;7182108;1011
681083;7183785;1012
681083;7184505;1013
681085;7182413;1014
681088;7182520;1015
681088;7184104;1016
681090;7182998;1017
681090;7183508;1018
681092;7181159;1019
681094;7182662;1020
681095;7180990;1021
681096;7183087;1022
681096;7183377;1023
681096;7184056;1024
681098;7184044;1025
681098;7184383;1026
681099;7181223;1027
681100;7181362;1028
681102;7182472;1029
681102;7183050;1030
681103;7182923;1031
681106;7181069;1032
681107;7183025;1033
681110;7183976;1034
681111;7183885;1035
681111;7184274;1036
681112;7181289;1037
681113;7182421;1038
681114;7182574;1039
681116;7182973;1040
681117;7181144;1041
681118;7183211;1042
681120;7183436;1043
681123;7182933;1044
681125;7182741;1045
681125;7183889;1046
681126;7183298;1047
681127;7182340;1048
681127;7183700;1049
681128;7183178;1050
681129;7183851;1051
681130;7181219;1052
681130;7181417;1053
681130;7182315;1054
681132;7182882;1055
681132;7184105;1056
681132;7184155;1057
681135;7182864;1058
681138;7182672;1059
681139;7182278;1060
681139;7183833;1061
681140;7183419;1062
681141;7184056;1063
681148;7182237;1064
681148;7183231;1065
681151;7182583;1066
681152;7181568;1067
681152;7183811;1068
681153;7183140;1069
681154;7182749;1070
681155;7183988;1071
681158;7181499;1072
681158;7182185;1073
681158;7183372;1074
681158;7183531;1075
681159;7181629;1076
681159;7182537;1077
681160;7181282;1078
681162;7181368;1079
681165;7180947;1080
681166;7183203;1081
681167;7182684;1082
681168;7181691;1083
681168;7182133;1084
681168;7182488;1085
